year,litter_mean,litter_dep_mean,bare_mean,woody_mean,panic_mean,seed_mix_forbs_mean,seed_cover_total_mean,sedges_mean,sdv_mean,avg_robel_mean,sd_robel_mean,litter_sd,litter_dep_sd,bare_sd,woody_sd,panic_sd,seed_mix_forbs_sd,seed_cover_total_sd,sedges_sd,sdv_sd,avg_robel_sd,sd_robel_sd
2007,NA,NA,NA,3.0215686274509856,NA,NA,NA,NA,NA,6.045343137254903,0.6176785706247194,NA,NA,NA,10.091608144702137,NA,NA,NA,NA,NA,2.369475989966646,0.9952500768475205
2008,NA,NA,NA,1.7558031569173673,NA,NA,NA,NA,NA,4.506499535747444,0.7918020223871652,NA,NA,NA,6.5438736801596304,NA,NA,NA,NA,NA,2.3810121522560994,0.914451494878818
2009,NA,NA,NA,2.352777777777781,NA,NA,NA,NA,NA,4.060201149425232,0.7950887456274007,NA,NA,NA,7.668441622045414,NA,NA,NA,NA,NA,2.219565824087906,0.9439002435430413
2010,NA,NA,NA,1.6185185185185151,NA,NA,NA,11.833333333333309,NA,4.09837962962963,0.662585243111839,NA,NA,NA,6.191478914513866,NA,NA,NA,14.507675894858288,NA,1.7427819271363643,0.7393728144314982
2011,NA,NA,NA,4.68997240110396,NA,NA,NA,17.68813247470104,NA,4.446642134314626,0.7032037078773297,NA,NA,NA,12.848404989441992,NA,NA,NA,31.724952808021445,NA,2.4694552533758607,0.8566624606648179
2012,52.57129629629629,2.231499531396441,23.724999999999948,3.121296296296299,NA,NA,NA,6.494444444444452,NA,4.038888888888887,0.93953539907657,31.120777461233835,3.783810358120398,28.658794971067817,9.627978526904695,NA,NA,NA,10.430935608596329,NA,2.5884925114086728,1.2013103336335267
2013,48.195732838590004,1.2602325581395373,10.756957328385903,4.604823747680886,NA,NA,NA,27.679035250463787,NA,4.0825602968460135,0.7904115689515682,33.29828752446975,1.8629141689802549,14.635983018041504,12.232415606327999,NA,NA,NA,31.670995347940995,NA,2.528257596647398,1.1742434758883156
2014,70.00554400554404,1.3800070028011213,16.602217602217586,2.263340263340259,0.43977191732002757,6.268709907341406,NA,27.915453915453906,NA,3.2728690228690196,0.69534616944124,27.337084641646182,2.049199802792769,21.538432458020875,7.719777126090606,0.6146457447937943,10.79684321318676,NA,22.462940436410292,NA,2.6237235615615537,1.154440385891479
2015,61.4728395061728,1.8852992518703158,24.366049382715914,2.6179012345679147,0.36481481481481526,15.418518518518495,NA,25.961728395061744,NA,4.423611111111124,1.022249433048699,38.722447256318524,2.9278912116399414,31.32798787677999,9.982643395233067,0.7140150177770437,26.295515490773962,NA,36.40186132356341,NA,3.164948488447716,1.3788551159741858
2016,66.60012437810947,1.9224999999999943,24.422885572139243,3.0597014925373065,0.3266957062850035,13.848258706467622,NA,36.7823383084577,NA,4.8111007462686555,0.8869616776450661,33.92808639837098,5.125191627697035,30.422010399480087,10.545904299013818,0.679482603965071,25.569468987863594,NA,37.86695849113024,NA,3.692359064966678,1.3008744279666824
2017,70.3570469798658,2.052742044685172,24.791946308724892,2.487248322147652,0.2619207521826726,25.106040268456358,7.867785234899339,NA,NA,4.809563758389262,0.9880512204230818,33.629335460231154,2.7466487827382586,32.352859596647605,8.087427653034293,0.4998997928138663,32.84903750546281,12.811831169884993,NA,NA,3.339832883748121,1.2930029787555886
2018,63.433752775721715,1.968259895444361,24.849000740192473,3.0458919319023012,0.22205773501110312,22.03256846780162,6.9511472982975615,NA,NA,4.032198371576608,0.8431895073956537,33.47823860220605,3.0421676548190577,28.831479659759243,10.414703093160162,0.42459800552266597,31.66538672252374,11.178444061929909,NA,NA,2.5322694214561325,1.162048477088124
2021,79.70836855452248,1.6765704584040757,19.946745562130147,3.568892645815698,0.3465765004226532,26.43871513102285,8.158072696534237,NA,NA,2.8239644970414197,0.6120687607227596,29.08294322145581,2.178869197775,28.363808309223476,11.521044353092625,0.476080687848599,31.331739890635657,11.282236776079843,NA,NA,2.4327508585663336,0.8578368091063422
2022,86.54024051803884,2.445700934579441,12.599444958371881,2.449168207024018,0.9591836734693877,26.922222222222192,8.775208140610543,NA,3.6129334582942927,3.108133086876156,0.7502389878023633,21.457850577902484,3.1278786889663297,20.235272643354808,8.619176190181829,0.19806669607184738,30.983290463101348,12.677786623992706,NA,5.935799545641442,2.6345343003074175,1.130678519282484
2023,73.93191489361695,1.246153846153847,26.195744680851096,3.129361702127665,0.3430391264786178,26.397446808510626,8.76170212765958,NA,2.4238297872340455,2.5955319148936145,0.6102181073388591,29.61528671392164,2.054040582289821,29.6564798347156,10.764172426384606,0.4749405574133447,31.988890111718078,13.247843082316576,NA,4.761333897352275,1.9998858661115926,0.9734419636464053
